station_id,station_name,year,month,month_date,avg_tavg,avg_tmax,avg_tmin,total_prcp,obs_count
IN009010101,"HASKOTE, IN",1906,10,1906-10-01,,,,20.3,62
IN009010101,"HASKOTE, IN",1906,11,1906-11-01,,,,0.0,60
IN009010101,"HASKOTE, IN",1906,12,1906-12-01,,,,2.2800000000000002,62
IN009010101,"HASKOTE, IN",1907,1,1907-01-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1907,2,1907-02-01,,,,0.0,56
IN009010101,"HASKOTE, IN",1907,3,1907-03-01,,,,1.4,62
IN009010101,"HASKOTE, IN",1907,4,1907-04-01,,,,10.32,60
IN009010101,"HASKOTE, IN",1907,5,1907-05-01,,,,2.0,62
IN009010101,"HASKOTE, IN",1907,6,1907-06-01,,,,7.38,60
IN009010101,"HASKOTE, IN",1907,7,1907-07-01,,,,11.06,62
IN009010101,"HASKOTE, IN",1907,8,1907-08-01,,,,1.3,62
IN009010101,"HASKOTE, IN",1907,9,1907-09-01,,,,11.1,60
IN009010101,"HASKOTE, IN",1907,10,1907-10-01,,,,2.96,62
IN009010101,"HASKOTE, IN",1907,11,1907-11-01,,,,3.4,60
IN009010101,"HASKOTE, IN",1907,12,1907-12-01,,,,0.52,62
IN009010101,"HASKOTE, IN",1908,1,1908-01-01,,,,2.46,62
IN009010101,"HASKOTE, IN",1908,2,1908-02-01,,,,0.0,58
IN009010101,"HASKOTE, IN",1908,3,1908-03-01,,,,1.26,62
IN009010101,"HASKOTE, IN",1908,4,1908-04-01,,,,1.16,60
IN009010101,"HASKOTE, IN",1908,5,1908-05-01,,,,12.040000000000003,62
IN009010101,"HASKOTE, IN",1908,6,1908-06-01,,,,7.06,60
IN009010101,"HASKOTE, IN",1908,7,1908-07-01,,,,6.12,62
IN009010101,"HASKOTE, IN",1908,8,1908-08-01,,,,2.62,62
IN009010101,"HASKOTE, IN",1908,9,1908-09-01,,,,5.32,60
IN009010101,"HASKOTE, IN",1908,10,1908-10-01,,,,3.98,62
IN009010101,"HASKOTE, IN",1908,11,1908-11-01,,,,0.16,60
IN009010101,"HASKOTE, IN",1908,12,1908-12-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1909,1,1909-01-01,,,,2.5,62
IN009010101,"HASKOTE, IN",1909,2,1909-02-01,,,,0.0,56
IN009010101,"HASKOTE, IN",1909,3,1909-03-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1909,4,1909-04-01,,,,3.7,60
IN009010101,"HASKOTE, IN",1909,5,1909-05-01,,,,11.22,62
IN009010101,"HASKOTE, IN",1909,6,1909-06-01,,,,5.6,60
IN009010101,"HASKOTE, IN",1909,7,1909-07-01,,,,2.32,62
IN009010101,"HASKOTE, IN",1909,8,1909-08-01,,,,28.840000000000003,62
IN009010101,"HASKOTE, IN",1909,9,1909-09-01,,,,4.6,60
IN009010101,"HASKOTE, IN",1909,10,1909-10-01,,,,18.099999999999998,62
IN009010101,"HASKOTE, IN",1909,11,1909-11-01,,,,1.7800000000000002,60
IN009010101,"HASKOTE, IN",1909,12,1909-12-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1910,1,1910-01-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1910,2,1910-02-01,,,,0.0,56
IN009010101,"HASKOTE, IN",1910,3,1910-03-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1910,4,1910-04-01,,,,0.9199999999999999,60
IN009010101,"HASKOTE, IN",1910,5,1910-05-01,,,,3.0600000000000005,62
IN009010101,"HASKOTE, IN",1910,6,1910-06-01,,,,2.58,60
IN009010101,"HASKOTE, IN",1910,7,1910-07-01,,,,15.799999999999999,62
IN009010101,"HASKOTE, IN",1910,8,1910-08-01,,,,13.9,62
IN009010101,"HASKOTE, IN",1910,9,1910-09-01,,,,6.720000000000001,60
IN009010101,"HASKOTE, IN",1910,10,1910-10-01,,,,22.759999999999998,62
IN009010101,"HASKOTE, IN",1910,11,1910-11-01,,,,13.640000000000002,60
IN009010101,"HASKOTE, IN",1910,12,1910-12-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1911,1,1911-01-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1911,2,1911-02-01,,,,0.72,56
IN009010101,"HASKOTE, IN",1911,3,1911-03-01,,,,0.0,62
IN009010101,"HASKOTE, IN",1911,4,1911-04-01,,,,1.2,60
IN009010101,"HASKOTE, IN",1911,5,1911-05-01,,,,11.88,62
IN009010101,"HASKOTE, IN",1911,6,1911-06-01,,,,2.9800000000000004,60
IN009010101,"HASKOTE, IN",1911,7,1911-07-01,,,,5.979999999999999,62
