station_id,station_name,year,month,month_date,avg_tavg,z_monthly_tavg
IN009010101,"HASKOTE, IN",1901,1,1901-01-01,,
IN009010101,"HASKOTE, IN",1901,2,1901-02-01,,
IN009010101,"HASKOTE, IN",1901,3,1901-03-01,,
IN009010101,"HASKOTE, IN",1901,4,1901-04-01,,
IN009010101,"HASKOTE, IN",1901,5,1901-05-01,,
IN009010101,"HASKOTE, IN",1901,6,1901-06-01,,
IN009010101,"HASKOTE, IN",1901,7,1901-07-01,,
IN009010101,"HASKOTE, IN",1901,8,1901-08-01,,
IN009010101,"HASKOTE, IN",1901,9,1901-09-01,,
IN009010101,"HASKOTE, IN",1901,10,1901-10-01,,
IN009010101,"HASKOTE, IN",1901,11,1901-11-01,,
IN009010101,"HASKOTE, IN",1901,12,1901-12-01,,
IN009010101,"HASKOTE, IN",1902,1,1902-01-01,,
IN009010101,"HASKOTE, IN",1902,2,1902-02-01,,
IN009010101,"HASKOTE, IN",1902,3,1902-03-01,,
IN009010101,"HASKOTE, IN",1902,4,1902-04-01,,
IN009010101,"HASKOTE, IN",1902,5,1902-05-01,,
IN009010101,"HASKOTE, IN",1902,6,1902-06-01,,
IN009010101,"HASKOTE, IN",1902,7,1902-07-01,,
IN009010101,"HASKOTE, IN",1902,8,1902-08-01,,
IN009010101,"HASKOTE, IN",1902,9,1902-09-01,,
IN009010101,"HASKOTE, IN",1902,10,1902-10-01,,
IN009010101,"HASKOTE, IN",1902,11,1902-11-01,,
IN009010101,"HASKOTE, IN",1902,12,1902-12-01,,
IN009010101,"HASKOTE, IN",1903,1,1903-01-01,,
IN009010101,"HASKOTE, IN",1903,2,1903-02-01,,
IN009010101,"HASKOTE, IN",1903,3,1903-03-01,,
IN009010101,"HASKOTE, IN",1903,4,1903-04-01,,
IN009010101,"HASKOTE, IN",1903,5,1903-05-01,,
IN009010101,"HASKOTE, IN",1903,6,1903-06-01,,
IN009010101,"HASKOTE, IN",1903,7,1903-07-01,,
IN009010101,"HASKOTE, IN",1903,8,1903-08-01,,
IN009010101,"HASKOTE, IN",1903,9,1903-09-01,,
IN009010101,"HASKOTE, IN",1903,10,1903-10-01,,
IN009010101,"HASKOTE, IN",1903,11,1903-11-01,,
IN009010101,"HASKOTE, IN",1903,12,1903-12-01,,
IN009010101,"HASKOTE, IN",1904,1,1904-01-01,,
IN009010101,"HASKOTE, IN",1904,2,1904-02-01,,
IN009010101,"HASKOTE, IN",1904,3,1904-03-01,,
IN009010101,"HASKOTE, IN",1904,4,1904-04-01,,
IN009010101,"HASKOTE, IN",1904,5,1904-05-01,,
IN009010101,"HASKOTE, IN",1904,6,1904-06-01,,
IN009010101,"HASKOTE, IN",1904,7,1904-07-01,,
IN009010101,"HASKOTE, IN",1904,8,1904-08-01,,
IN009010101,"HASKOTE, IN",1904,9,1904-09-01,,
IN009010101,"HASKOTE, IN",1904,10,1904-10-01,,
IN009010101,"HASKOTE, IN",1904,11,1904-11-01,,
IN009010101,"HASKOTE, IN",1904,12,1904-12-01,,
IN009010101,"HASKOTE, IN",1905,1,1905-01-01,,
IN009010101,"HASKOTE, IN",1905,2,1905-02-01,,
IN009010101,"HASKOTE, IN",1905,3,1905-03-01,,
IN009010101,"HASKOTE, IN",1905,4,1905-04-01,,
IN009010101,"HASKOTE, IN",1905,5,1905-05-01,,
IN009010101,"HASKOTE, IN",1905,6,1905-06-01,,
IN009010101,"HASKOTE, IN",1905,7,1905-07-01,,
IN009010101,"HASKOTE, IN",1905,8,1905-08-01,,
IN009010101,"HASKOTE, IN",1905,9,1905-09-01,,
IN009010101,"HASKOTE, IN",1905,10,1905-10-01,,
IN009010101,"HASKOTE, IN",1905,11,1905-11-01,,
IN009010101,"HASKOTE, IN",1905,12,1905-12-01,,
IN009010101,"HASKOTE, IN",1906,1,1906-01-01,,
IN009010101,"HASKOTE, IN",1906,2,1906-02-01,,
IN009010101,"HASKOTE, IN",1906,3,1906-03-01,,
IN009010101,"HASKOTE, IN",1906,4,1906-04-01,,
IN009010101,"HASKOTE, IN",1906,5,1906-05-01,,
IN009010101,"HASKOTE, IN",1906,6,1906-06-01,,
IN009010101,"HASKOTE, IN",1906,7,1906-07-01,,
IN009010101,"HASKOTE, IN",1906,8,1906-08-01,,
IN009010101,"HASKOTE, IN",1906,9,1906-09-01,,
IN009010101,"HASKOTE, IN",1906,10,1906-10-01,,
IN009010101,"HASKOTE, IN",1906,11,1906-11-01,,
IN009010101,"HASKOTE, IN",1906,12,1906-12-01,,
IN009010101,"HASKOTE, IN",1907,1,1907-01-01,,
IN009010101,"HASKOTE, IN",1907,2,1907-02-01,,
IN009010101,"HASKOTE, IN",1907,3,1907-03-01,,
IN009010101,"HASKOTE, IN",1907,4,1907-04-01,,
IN009010101,"HASKOTE, IN",1907,5,1907-05-01,,
IN009010101,"HASKOTE, IN",1907,6,1907-06-01,,
IN009010101,"HASKOTE, IN",1907,7,1907-07-01,,
IN009010101,"HASKOTE, IN",1907,8,1907-08-01,,
IN009010101,"HASKOTE, IN",1907,9,1907-09-01,,
IN009010101,"HASKOTE, IN",1907,10,1907-10-01,,
IN009010101,"HASKOTE, IN",1907,11,1907-11-01,,
